RepeatStatus,Rating,Marketing_Consent,isCash,isWeb,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold_Wallets,Coin_Card_Holders,Passport_Wallets,Long_Wallets,Luggage_Tags,Lanyard,Bag_Straps,Bracelets,isMale,percentDiscount,Payment_Method
1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,GrabPay
0,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.362645914,custom
1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0.341414141,custom
1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,manual
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Stripe
0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,GrabPay
1,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2,manual
0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.1,Stripe
0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.424460432,custom
1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.371859296,custom
1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.494949495,custom
0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.05,custom
1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331103679,custom
1,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.4,custom
1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.361111111,custom
0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.372384937,custom
1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32885906,custom
0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,custom
0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,custom
0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.05,custom
1,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.422110553,custom
1,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.494949495,custom
1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.373040752,custom
1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,hoolah
0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,custom
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.05,custom
0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Atome - 3 easy payments, 0% interest"
1,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2,Stripe
1,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Stripe
1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.05,Stripe
1,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0.565972222,Cash
1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.685534591,Cash
0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2,custom
1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.39516129,custom
