RepeatStatus,Gender,MEMBER_RATING,Accepts Marketing,Discount_Percentage,Total,Installment,Source,PersonalizationDone,NumberItemsTotal,Briefcases,Backpacks,Clutches,Duffels,Totes,Messengers,Bifold Wallets,Coin & Card Holders,Passport Wallets,Long Wallets,Luggage Tags,Lanyard,Bag Straps,Bracelets,Festive_purchase,Order_ID
0,F,4,no,0.2,87.2,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5638
0,M,2,yes,0.2,158.4,Installment,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5636
0,M,4,no,0.36,327.6,Cash,pos,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5634
0,F,2,yes,0,248.72,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#5631
0,F,4,no,0.05,241.3,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5630
0,M,2,yes,0.1,178.2,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,#5628
0,M,5,yes,0.42,80,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5626
0,M,3,no,0.05,112.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5622
0,F,2,no,0.37,150,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5618
0,M,5,no,0,139,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5616
0,M,5,no,0.05,169.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5615
0,M,2,no,0.05,188.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5614
1,M,5,no,0.37,200,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5611
0,F,2,no,0,178,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5608
0,F,2,no,0.05,93.1,Cash,pos,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5607
0,F,3,no,0,178,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5606
1,M,5,yes,0.2,119.2,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5605
1,M,5,yes,0.05,138.7,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5603
0,M,2,no,0.2,699.2,Cash,pos,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5599
1,F,4,no,0.05,188.1,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5597
0,M,1,no,0.7,50,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5596
0,F,2,no,0,178,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5595
0,F,5,yes,0.28,100,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5592
0,M,5,no,0.49,50,Cash,pos,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5590
0,F,3,yes,0,69,Cash,web,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#5589
0,F,5,no,0.23,200,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5588
0,F,5,yes,0.6,40,Cash,pos,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5587
0,M,2,no,0,234,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5584
0,M,3,yes,0.05,224.2,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,#5583
1,M,4,yes,0.05,65.55,Installment,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#5581
0,F,3,no,0,169,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5580
0,M,3,yes,0,99,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5579
0,F,5,yes,0,248,Installment,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5577
0,M,5,yes,0.1,125.1,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5576
0,M,2,no,0,139,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5575
0,M,2,no,0,167,Cash,web,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,#5573
0,M,2,yes,0.1,474.3,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5572
0,F,5,yes,0,248,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5571
0,F,2,no,0.1,201.6,Cash,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5570
0,F,3,yes,0,351,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5569
0,M,5,yes,0.05,141.55,Cash,web,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5568
1,F,2,no,0.1,195.3,Installment,web,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5565
1,M,2,yes,0.1,168.3,Cash,web,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5562
0,F,2,no,0,48,Cash,web,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#5561
1,M,2,no,0.05,224.2,Cash,web,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,#5558
0,M,4,yes,0.05,93.1,Cash,web,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#5557
0,F,2,yes,0.05,170.05,Installment,web,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,#5556
0,M,2,yes,0,198,Cash,web,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,#5555
0,F,2,no,0.05,224.2,Cash,web,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,#5554
